city_code,city_name,postal_code,department_code,latitude,longitude
65001,Adast,65260,65,42.976238760873485,-0.07690648696207
65002,Ade,65100,65,43.14433139733529,-0.0275034521514245
65003,Adervielle Pouchergues,65240,65,42.7972845047425,0.389432507064865
65004,Agos Vidalos,65400,65,43.03831353973915,-0.073237989142969
65005,Allier,65360,65,43.1802312235162,0.125604467122766
65006,Ancizan,65440,65,42.90327959802583,0.29235288020310646
65007,Andrest,65390,65,43.31557375236227,0.06553851621495349
65009,Aneres,65150,65,43.07773387595409,0.46474623221159395
65010,Angos,65690,65,43.198962304220906,0.1660893990773215
65012,Anla,65370,65,43.00501430336956,0.5934857586035089
65013,Ansost,65140,65,43.43233610134861,0.11006878219156699
65014,Antichan,65370,65,42.991783807226405,0.5831050026854705
65015,Antin,65220,65,43.332351987018725,0.2903928774067325
65016,Antist,65200,65,43.119370764485325,0.1357109866952815
65017,Aragnouet,65170,65,42.7782844067453,0.1907860139652335
65018,Arbeost,65560,65,42.97623144973283,-0.2707441483471285
65019,Arcizac Adour,65360,65,43.15015270478105,0.0893823145292855
65020,Arcizac Ez Angles,65100,65,43.095059473530924,0.017079010973722
65021,Arcizans Avant,65400,65,42.960301969089514,-0.11915333826319649
65022,Arcizans Dessus,65400,65,42.99619439782539,-0.1622847898385085
65023,Ardengost,65240,65,42.92732027325488,0.4131588336334385
65024,Argeles Bagneres,65200,65,43.09103647806578,0.197191632599111
65025,Argeles Gazost,65400,65,43.00713175217871,-0.096647231997493
65026,Aries Espenan,65230,65,43.27686289078545,0.5299199290485526
65028,Arne,65670,65,43.17465804536913,0.49308239797981446
65029,Arras En Lavedan,65400,65,42.964630809934135,-0.1431807472215215
65247,Arrayou Lahitte,65100,65,43.09201068282816,0.0437000115652605
65031,Arreau,65240,65,42.91537023580402,0.33368372483757
65032,Arrens Marsous,65400,65,42.90888893375653,-0.2517215534395375
65034,Arrodets,65130,65,43.030413465412394,0.28025017019194054
65033,Arrodets Ez Angles,65100,65,43.070054085986186,0.040445108369051
65035,Artagnan,65500,65,43.40899035249828,0.0811522595174605
65036,Artalens Souin,65400,65,42.97853608553906,-0.0393395553881525
65037,Artiguemy,65130,65,43.126972558983695,0.2449524307725035
65038,Artigues,65100,65,43.07119901557459,0.0007143313349329996
65039,Aspin Aure,65240,65,42.93775627519816,0.3302553389646835
65040,Aspin En Lavedan,65100,65,43.07366267728,-0.049354162888778
65041,Asque,65130,65,43.0276594934864,0.249792115765771
65042,Aste,65200,65,43.01137676632206,0.212718503702687
65043,Astugue,65200,65,43.09543608817155,0.0726997184506845
65044,Aubarede,65350,65,43.27193302700124,0.2501106657205565
65045,Aucun,65400,65,42.98604040318087,-0.198557984631083
65046,Aulon,65240,65,42.85681999281384,0.261140120336731
65047,Aureilhan,65800,65,43.248841403940624,0.106444807871974
65048,Aurensan,65390,65,43.304578995783004,0.09945766584357499
65049,Auriebat,65700,65,43.49711701436016,0.0850323879752775
65050,Avajan,65240,65,42.847179198531734,0.401963661005163
65051,Aventignan,65660,65,43.06069121768051,0.521883982942403
65052,Averan,65380,65,43.13548325829566,-0.0001015379236999998
65053,Aveux,65370,65,43.008378148816256,0.5622999323182829
65054,Avezac Prat Lahitte,65130,65,43.06734420924357,0.332353553447706
65055,Ayros Arbouix,65400,65,43.000430177677224,-0.065782496162757
65056,Ayzac Ost,65400,65,43.02419721019783,-0.092252517934341
65057,Azereix,65380,65,43.202688630568346,-0.0232553495353495
65058,Azet,65170,65,42.78227703722568,0.35661535747927653
65059,Bagneres De Bigorre,65200,65,42.968576331626544,0.129822989792921
65060,Banios,65200,65,43.03950029810793,0.22601178375871
65061,Barbachen,65140,65,43.42858375610024,0.12667602809483
65062,Barbazan Debat,65690,65,43.20191305388829,0.129527075142784
65063,Barbazan Dessus,65360,65,43.164152874918386,0.143652895745051
65481,Bareges,65120,65,42.868084936376526,0.110636472426451
65064,Bareilles,65240,65,42.88607935140702,0.4306524648258055
65065,Barlest,65100,65,43.149707936521445,-0.09588644494558751
65066,Barrancoueu,65240,65,42.909955345631865,0.32485981299177347
65067,Barry,65380,65,43.13850129496925,0.020444510614275498
65068,Barthe,65230,65,43.28650799562462,0.47580622517175
65070,Bartres,65100,65,43.13606603832787,-0.0570452556998825
65071,Batsere,65130,65,43.06075778677943,0.283332562963989
65072,Bazet,65460,65,43.28973628657377,0.0767291745233305
65073,Bazillac,65140,65,43.3597898070942,0.112928408153355
65074,Bazordan,65670,65,43.222647430757036,0.545869280680942
65075,Bazus Aure,65170,65,42.85708117402329,0.34294879359771746
65076,Bazus Neste,65250,65,43.03125125029119,0.387580187580151
65077,Beaucens,65400,65,42.95463735838807,0.0181936435870595
65078,Beaudean,65710,65,42.99595534046967,0.136637927607342
65079,Begole,65190,65,43.16059010054029,0.311743758507938
65080,Benac,65380,65,43.15301886244321,0.029867800245111
65081,Benque Molere,65130,65,43.09664257938354,0.2922919631384955
65082,Berberust Lias,65100,65,43.035939072644304,-0.035548256936518
65083,Bernac Debat,65360,65,43.16989650259245,0.11085472836499301
65084,Bernac Dessus,65360,65,43.15466452400149,0.130156756407802
65085,Bernadets Debat,65220,65,43.3526757689676,0.31947741318261
65086,Bernadets Dessus,65190,65,43.21334392637708,0.2958375852983645
65087,Bertren,65370,65,42.99978149473304,0.6181186940459285
65088,Betbeze,65230,65,43.29082519197167,0.569817444465835
65089,Betpouey,65120,65,42.86011611943516,0.0644397639028135
65090,Betpouy,65230,65,43.274305841883645,0.45415904406138996
65091,Bettes,65130,65,43.07975129223651,0.22128430350525552
65092,Beyrede Jumet Camous,65410,65,42.954739957575285,0.348973914373059
65093,Bize,65150,65,43.03449753491577,0.4632992423319095
65094,Bizous,65150,65,43.06545479068504,0.4390634171200245
65095,Bonnefont,65220,65,43.242018467815086,0.34992602744928103
65096,Bonnemazon,65130,65,43.10842523887237,0.2549938820486705
65097,Bonrepos,65330,65,43.18965648759464,0.38082477302885953
65098,Boo Silhen,65400,65,43.01974635758841,-0.072029841440282
65099,Borderes Louron,65590,65,42.86880052725071,0.42158098311062897
65100,Borderes Sur L Echez,65320,65,43.26511149286718,0.0390744304353745
65101,Bordes,65190,65,43.19754416770907,0.222698284721219
65102,Bouilh Devant,65140,65,43.335204376918924,0.2613831410811855
65103,Bouilh Pereuilh,65350,65,43.308782684859,0.1925705293614495
65104,Boulin,65350,65,43.25435044584992,0.1351056686905465
65105,Bourg De Bigorre,65130,65,43.08460265021728,0.2571320898040755
65106,Bourisp,65170,65,42.83323475216467,0.3415531007400335
65107,Bourreac,65100,65,43.105324362787115,0.0031042382737345
65108,Bours,65460,65,43.27713755971931,0.090465337275098
65109,Bramevaque,65370,65,42.97678363434383,0.555878610541938
65110,Bugard,65220,65,43.2539162463856,0.312428097932489
65111,Bulan,65130,65,43.042537674019606,0.280153982296568
65112,Bun,65400,65,42.9673211123926,-0.161874039216893
65113,Burg,65190,65,43.188223336296424,0.3203510285342655
65114,Buzon,65140,65,43.45014597416791,0.14912506051402
65115,Cabanac,65350,65,43.27415728473345,0.222953954278167
65116,Cadeac,65240,65,42.89394769221988,0.334034935050019
65117,Cadeilhan Trachere,65170,65,42.810851811892036,0.290609604340205
65118,Caharet,65190,65,43.14543910611452,0.3115961676087635
65119,Caixon,65500,65,43.41070378557676,0.018640334278455
65120,Calavante,65190,65,43.20414918608738,0.16612456435350398
65121,Camales,65500,65,43.359860403331496,0.08110799431948401
65123,Campan,65710,65,42.948857614409405,0.2262419140458925
65124,Camparan,65170,65,42.830614790448536,0.3568443902042
65125,Campistrous,65300,65,43.1436512320212,0.3780252607060035
65126,Campuzan,65230,65,43.2795519998693,0.433636870553464
65482,Cantaous,65150,65,43.10161562006231,0.4420496493647925
65127,Capvern,65130,65,43.10498129506854,0.3281565845721325
65128,Castelbajac,65330,65,43.18375835759886,0.35675494872070146
65129,Castelnau Magnoac,65230,65,43.30075297024513,0.514238882367111
65130,Castelnau Riviere Basse,65700,65,43.579347309357985,-0.032775831678564
65131,Castelvieilh,65350,65,43.27947710945617,0.202323434077593
65132,Castera Lanusse,65190,65,43.171577110283735,0.290202202757121
65133,Castera Lou,65350,65,43.32336809167005,0.15495310312579952
65134,Casterets,65230,65,43.31541859418084,0.583114746849011
65135,Castillon,65130,65,43.095142336420345,0.221889782016656
65136,Caubous,65230,65,43.2405505841413,0.4705808086475345
65137,Caussade Riviere,65700,65,43.51811575835684,0.011318602980203502
65138,Cauterets,65110,65,42.865641574870814,-0.14299583859450551
65139,Cazarilh,65370,65,42.94925483917615,0.589236709136025
65140,Cazaux Debat,65590,65,42.88711551727275,0.38189265463876554
65141,Cazaux Frechet Aneran Camors,65240,65,42.84327316916222,0.43815736587562304
65142,Chelle Debat,65350,65,43.301430547742484,0.2371958410957275
65143,Chelle Spou,65130,65,43.14274873880855,0.247620561539984
65144,Cheust,65100,65,43.05511485277521,0.030419899249710003
65145,Cheze,65120,65,42.920557214722855,-0.0197312379632655
65146,Chis,65800,65,43.29719418874023,0.11395247164133751
65147,Cieutat,65200,65,43.12606157102849,0.2129598364342885
65148,Cizos,65230,65,43.26295972141375,0.489779814350611
65149,Clarac,65190,65,43.21814054160207,0.254394316314872
65150,Clarens,65300,65,43.15194860204308,0.414500592708881
65151,Collongues,65350,65,43.28904173217947,0.16813527800801
65153,Coussan,65350,65,43.24416460221519,0.20552530495884103
65154,Crechets,65370,65,43.001229614692974,0.5666801609819581
65155,Deveze,65230,65,43.27757160401551,0.5480028620480445
65156,Dours,65350,65,43.308293172812824,0.134527965011272
65157,Ens,65170,65,42.79547071115549,0.3366038919735555
65158,Esbareich,65370,65,42.93060176711204,0.573799445225869
65159,Escala,65250,65,43.087903881708016,0.41041300112323853
65160,Escaunets,65500,65,43.34670205830334,-0.077161203441879
65161,Escondeaux,65140,65,43.348176264254754,0.1328810559268545
65162,Esconnets,65130,65,43.07358811206592,0.23264939842875398
65163,Escots,65130,65,43.05856012042037,0.260450129270699
65164,Escoubes Pouts,65100,65,43.10631522857384,0.026717269142029
65165,Esparros,65130,65,43.01094831737908,0.31485507308007854
