city_code,city_name,postal_code,department_code,latitude,longitude
97102,Anse Bertrand,97121,971,16.466834153069072,-61.4697754636327
97103,Baie Mahault,97122,971,16.249776641174016,-61.59510366302182
97104,Baillif,97123,971,16.049737072250174,-61.71585935976647
97105,Basse Terre,97100,971,15.999164150201292,-61.72938134011654
97106,Bouillante,97125,971,16.138697685859498,-61.757790022204524
97107,Capesterre Belle Eau,97130,971,16.048555885322394,-61.61970325928365
97108,Capesterre De Marie Galante,97140,971,15.917643844491803,-61.229578948723905
97111,Deshaies,97126,971,16.319364551159282,-61.78305795947257
97109,Gourbeyre,97113,971,16.005663449164807,-61.68903896933724
97114,Goyave,97128,971,16.123123593426357,-61.615000801551034
97112,Grand Bourg,97112,971,15.908541964044701,-61.292862073864185
97110,La Desirade,97127,971,16.29723853836098,-61.08133832980267
97115,Lamentin,97129,971,16.244329249434344,-61.669518100550846
97113,Le Gosier,97190,971,16.22727847547823,-61.474943591901805
97117,Le Moule,97160,971,16.335384765393812,-61.36002800748045
97101,Les Abymes,97139,971,16.267765511519762,-61.49667136913612
97116,Morne A L Eau,97111,971,16.32117009883291,-61.498758332781314
97118,Petit Bourg,97170,971,16.16950396785836,-61.65803183839431
97119,Petit Canal,97131,971,16.392147180924944,-61.454729873717554
97120,Pointe A Pitre,97110,971,16.23510266197619,-61.53792200370188
97121,Pointe Noire,97116,971,16.227031725182194,-61.765112545516764
97122,Port Louis,97117,971,16.420144363389667,-61.48799757607159
97124,St Claude,97120,971,16.040578326666935,-61.69528757601299
97125,St Francois,97118,971,16.278365503007848,-61.25384853530001
97126,St Louis,97134,971,15.965374639082953,-61.27322375570472
97128,Ste Anne,97180,971,16.25647720097877,-61.389627461631655
97129,Ste Rose,97115,971,16.293741280854604,-61.68355612022378
97130,Terre De Bas,97136,971,15.855420703272053,-61.632692441858495
97131,Terre De Haut,97137,971,15.858160098027906,-61.58909176031864
97132,Trois Rivieres,97114,971,15.993140165360977,-61.64932995296862
97133,Vieux Fort,97141,971,15.960701155280026,-61.69291809508711
97134,Vieux Habitants,97119,971,16.084677580976205,-61.716989801547996
