city_code,city_name,postal_code,department_code,latitude,longitude
88002,Aheville,88500,88,48.2836218719917,6.200667010718444
88003,Aingeville,88140,88,48.206009084785514,5.765943112256725
88004,Ainvelle,88320,88,47.98660885916422,5.826818343423163
88005,Allarmont,88110,88,48.469729024153736,7.017607700284586
88006,Ambacourt,88500,88,48.35149895829123,6.139401133794489
88007,Ameuvelle,88410,88,47.95100055473843,5.949762410919294
88008,Anglemont,88700,88,48.377311225883645,6.671316054415843
88009,Anould,88650,88,48.17943964230536,6.938977854762308
88010,Aouze,88170,88,48.383631501666045,5.867542270353049
88011,Arches,88380,88,48.108117208473445,6.507695098675553
88012,Archettes,88380,88,48.13236614554342,6.5484315845216665
88013,Aroffe,88170,88,48.41118239946779,5.899734198661793
88014,Arrentes De Corcieux,88430,88,48.13355984626832,6.871611810145594
88015,Attigneville,88300,88,48.39688809416142,5.826557107191882
88016,Attigny,88260,88,48.062393240922745,6.02487451851471
88017,Aulnois,88300,88,48.261731921087105,5.778739885849189
88019,Autigny La Tour,88300,88,48.413692102558954,5.786884475571494
88020,Autreville,88300,88,48.48673682103373,5.868685422198611
88021,Autrey,88700,88,48.291761448156,6.724968764496979
88022,Auzainvilliers,88140,88,48.237546769178316,5.855937182763831
88023,Avillers,88500,88,48.3125004254282,6.2050100647619395
88024,Avrainville,88130,88,48.37890985460163,6.219411721154916
88025,Avranville,88630,88,48.416537135631465,5.538838513292431
88026,Aydoilles,88600,88,48.21210076595216,6.573817972351439
88027,Badmenil Aux Bois,88330,88,48.31145758368965,6.528463156058686
88030,Bainville Aux Saules,88270,88,48.20816068198971,6.132918298748921
88031,Balleville,88170,88,48.33632898413646,5.846680919019928
88032,Ban De Laveline,88520,88,48.22541141266126,7.080070256808526
88033,Ban De Sapt,88210,88,48.339968540569785,7.016053346984992
88106,Ban Sur Meurthe Clefcy,88230,88,48.12849842755301,6.970186958698854
88035,Barbey Seroux,88640,88,48.129095331692426,6.846627748201894
88036,Barville,88300,88,48.37849292610038,5.770873999659264
88037,Basse Sur Le Rupt,88120,88,47.98549414754875,6.772370941969113
88038,Battexey,88130,88,48.38922617762282,6.184141546610589
88039,Baudricourt,88500,88,48.30865652047761,6.056649674939143
88040,Bayecourt,88150,88,48.271378943746726,6.494088869864993
88041,Bazegney,88270,88,48.26535664261635,6.234383621782402
88042,Bazien,88700,88,48.415052404215075,6.6806263638016
88043,Bazoilles Et Menil,88500,88,48.258952833091044,6.106430280192063
88044,Bazoilles Sur Meuse,88300,88,48.29886583994036,5.648954126022577
88045,Beaufremont,88300,88,48.256234460058444,5.7435771975733925
88046,Beaumenil,88600,88,48.168948206381046,6.721203930273253
88047,Begnecourt,88270,88,48.20949270784424,6.165289153190773
88048,Bellefontaine,88370,88,48.01030298448086,6.462355053576113
88049,Belmont Les Darney,88260,88,48.085514630454824,6.015248538552407
88050,Belmont Sur Buttant,88600,88,48.222195515393636,6.768861173942127
88051,Belmont Sur Vair,88800,88,48.2579328520083,5.913493611414967
88052,Belrupt,88260,88,48.09462544875851,6.085256149144778
88053,Belval,88210,88,48.41223319462919,7.069676010579669
88054,Bertrimoutier,88520,88,48.265462235021175,7.0606467098941845
88055,Bettegney St Brice,88450,88,48.304590931900464,6.31217376501127
88056,Bettoncourt,88500,88,48.33921052273294,6.163516448419703
88058,Biecourt,88170,88,48.324272266982646,5.953468507722326
88059,Biffontaine,88430,88,48.21219703847477,6.818295777845132
88060,Blemerey,88500,88,48.358591903529074,6.042537934031046
88061,Bleurville,88410,88,48.06773048427827,5.958811389186657
88062,Blevaincourt,88320,88,48.121654392107125,5.710727115787446
88063,Bocquegney,88270,88,48.22336490384365,6.311396762440051
88064,Bois De Champ,88600,88,48.24163375518013,6.794215930542169
88065,Bonvillet,88260,88,48.1004461589292,6.064352874715718
88066,Boulaincourt,88500,88,48.37374703485024,6.084045836755985
88069,Bouxieres Aux Bois,88270,88,48.256240897512534,6.322510173572484
88070,Bouxurulles,88130,88,48.33218372125205,6.230372234668815
88071,Bouzemont,88270,88,48.249833612345796,6.2392261751476905
88073,Brantigny,88130,88,48.3489532288346,6.276905680459853
88074,Brechainville,88350,88,48.36180418228176,5.502255034306801
88076,Brouvelieures,88600,88,48.24116353529528,6.73362498931535
88077,Bru,88700,88,48.35536836721637,6.685365635296311
88078,Bruyeres,88600,88,48.21545090917442,6.7138978335312975
88079,Bulgneville,88140,88,48.21200024877868,5.84117292392207
88080,Bult,88700,88,48.29815646715172,6.593807648597115
88081,Bussang,88540,88,47.892241465064245,6.875027990264453
88082,Celles Sur Plaine,88110,88,48.451314925941894,6.965577302400268
88083,Certilleux,88300,88,48.319839971188216,5.733036530901433
88084,Chamagne,88130,88,48.41165236941107,6.307366181305181
88086,Champ Le Duc,88600,88,48.19238400846676,6.727350648997416
88085,Champdray,88640,88,48.125723996071216,6.757676100097218
88087,Chantraine,88000,88,48.16698775048404,6.42438706991652
88090,Charmes,88130,88,48.38295709469247,6.322511001347313
