city_code,city_name,postal_code,department_code,latitude,longitude
83002,Aiguines,83630,83,43.73645523543668,6.3197222320564
83003,Ampus,83111,83,43.621839895614684,6.368342891521502
83005,Artignosc Sur Verdon,83630,83,43.69907192860626,6.10865593936103
83006,Artigues,83560,83,43.5802355574274,5.799972052066526
83007,Aups,83630,83,43.62828510292549,6.213873211879791
83008,Bagnols En Foret,83600,83,43.53280983996835,6.708906084180272
83009,Bandol,83150,83,43.147023779616994,5.7488227118524104
83010,Bargeme,83840,83,43.7278991939296,6.5696939843242586
83011,Bargemon,83830,83,43.63440226470109,6.543861896686203
83012,Barjols,83670,83,43.54837793658694,5.97302903117329
83014,Baudinard Sur Verdon,83630,83,43.71402325551137,6.135113371453775
83015,Bauduen,83630,83,43.720323836189465,6.204770018857289
83017,Belgentier,83210,83,43.241583573902844,5.997164796720248
83018,Besse Sur Issole,83890,83,43.339037346083785,6.1839401257826365
83019,Bormes Les Mimosas,83230,83,43.157462181462634,6.361451240554667
83021,Bras,83149,83,43.47225500499887,5.955845855336438
83022,Brenon,83840,83,43.769050855524,6.536454674962213
83023,Brignoles,83170,83,43.38850456233572,6.075861789564495
83025,Brue Auriac,83119,83,43.52585597939827,5.940152945262634
83026,Cabasse,83340,83,43.4275000172568,6.23035009498275
83028,Callas,83830,83,43.568673568709116,6.573495824029724
83029,Callian,83440,83,43.607201134189026,6.760077440797288
83030,Camps La Source,83170,83,43.37188588599836,6.126133810046964
83032,Carces,83570,83,43.47376586432409,6.175150220376466
83033,Carnoules,83660,83,43.29213428239507,6.197767480450905
83034,Carqueiranne,83320,83,43.09752357164686,6.071425203018991
83036,Cavalaire Sur Mer,83240,83,43.17967696744107,6.521533342982561
83038,Chateaudouble,83300,83,43.62592373835721,6.4419872782018786
83039,Chateauvert,83670,83,43.49917246634166,6.008764490469625
83040,Chateauvieux,83840,83,43.787417377829115,6.595898057786908
83041,Claviers,83830,83,43.599823228666835,6.584521862151898
83042,Cogolin,83310,83,43.240625331256176,6.531904967308256
83043,Collobrieres,83610,83,43.244608290736224,6.345385029553393
83044,Comps Sur Artuby,83840,83,43.707455792855896,6.5059641778721495
83045,Correns,83570,83,43.48842160602345,6.054277539739008
83046,Cotignac,83570,83,43.52455807128655,6.143571325872139
83049,Cuers,83390,83,43.24284849212978,6.065394773734836
83050,Draguignan,83300,83,43.534570279941484,6.46507685133195
83051,Entrecasteaux,83570,83,43.50845350503232,6.23240656495822
83052,Esparron De Pallieres,83560,83,43.58807615101,5.851001948521237
83053,Evenos,83330,83,43.18763638025247,5.870178567700778
83055,Fayence,83440,83,43.61180984991654,6.6761760913519375
