city_code,city_name,postal_code,department_code,latitude,longitude
87001,Aixe Sur Vienne,87700,87,45.79897232171032,1.1244541923973626
87002,Ambazac,87240,87,45.96090989604992,1.395561784390128
87003,Arnac La Poste,87160,87,46.25943981943209,1.3731480785434245
87004,Augne,87120,87,45.771485001470474,1.700661170766313
87005,Aureil,87220,87,45.8088048186988,1.4032324214003304
87006,Azat Le Ris,87360,87,46.30561278414008,1.0546915408808175
87007,Balledent,87290,87,46.10771423590242,1.2208398863333785
87009,Beaumont Du Lac,87120,87,45.77564862168864,1.8535364230177014
87011,Bellac,87300,87,46.10128440661152,1.0325019318055801
87012,Berneuil,87300,87,46.06506081051816,1.1118120881605251
87013,Bersac Sur Rivalier,87370,87,46.07976227206249,1.414560325394288
87014,Bessines Sur Gartempe,87250,87,46.11147923654903,1.3581056111597445
87015,Beynac,87700,87,45.76746146199429,1.1646365423867828
87017,Blanzac,87300,87,46.12722435972474,1.107596480413532
87018,Blond,87300,87,46.05463993002573,1.013358326427879
87019,Boisseuil,87220,87,45.76042770424087,1.327299681594778
87020,Bonnac La Cote,87270,87,45.947827085647006,1.2874132356282855
87021,Bosmie L Aiguille,87110,87,45.763366725720346,1.2047546401914908
87022,Breuilaufa,87300,87,46.0415477827399,1.1056646757141555
87024,Bujaleuf,87460,87,45.79369886221154,1.627311888779285
87025,Burgnac,87800,87,45.74076395187766,1.169159844377206
87027,Bussiere Galant,87230,87,45.60828487295095,1.050017166524229
87030,Chaillac Sur Vienne,87200,87,45.862478312075694,0.8720964722277935
87032,Chalus,87230,87,45.654732347285105,0.9664832393722425
87033,Chamboret,87140,87,46.011683818121966,1.1184176812706599
87034,Champagnac La Riviere,87150,87,45.69703998281936,0.9133537224586785
87035,Champnetery,87400,87,45.82344617290475,1.584466674843711
87036,Champsac,87230,87,45.704501638287134,0.962003138427711
87038,Chaptelat,87270,87,45.91576693631996,1.2396785439729756
87039,Chateau Chervix,87380,87,45.59272865156394,1.3693238905962817
87040,Chateauneuf La Foret,87130,87,45.69261390782589,1.6103674605173501
87041,Chateauponsac,87290,87,46.131326943884304,1.2842167314926225
87043,Cheissoux,87460,87,45.82974175118794,1.6369674494443633
87044,Cheronnac,87600,87,45.75820888701362,0.75327668217959
87045,Cieux,87520,87,45.981242099441715,1.018344889053738
87046,Cognac La Foret,87310,87,45.836785837647994,1.0086966547982774
87047,Compreignac,87140,87,46.0000515365891,1.282836689714404
87048,Condat Sur Vienne,87920,87,45.78460430836852,1.2338699071248587
87049,Coussac Bonneval,87500,87,45.52003145470249,1.3269396303178476
87050,Couzeix,87270,87,45.884521329487384,1.2103345537755001
87053,Cromac,87160,87,46.36077975489063,1.3148840774587454
87054,Cussac,87150,87,45.69182963885522,0.8513863150541581
87056,Dinsac,87210,87,46.24107217049472,1.103451329672097
87057,Dompierre Les Eglises,87190,87,46.21094392759552,1.2516471506181466
87058,Domps,87120,87,45.6557712614499,1.714804567044554
87060,Dournazac,87230,87,45.63302192624893,0.926223466037079
87061,Droux,87190,87,46.166704827934936,1.149050624601279
87062,Eybouleuf,87400,87,45.797729274377915,1.4830801523870947
87063,Eyjeaux,87220,87,45.77531281549176,1.3774413595227635
87064,Eymoutiers,87120,87,45.70984444581153,1.7292690861615974
87065,Feytiat,87220,87,45.8093285902376,1.3264832459084746
87066,Flavignac,87230,87,45.71353138781754,1.0724141421604738
87067,Folles,87250,87,46.12390732496212,1.4522018113870265
87068,Fromental,87250,87,46.15391355507887,1.4234851030066706
87069,Gajoubert,87330,87,46.1059704532244,0.840151355928334
87071,Glandon,87500,87,45.47149932108509,1.215840822578023
87072,Glanges,87380,87,45.665196034066895,1.4632860949645417
87073,Gorre,87310,87,45.736471306955856,0.993696950005142
87075,Isle,87170,87,45.80533742149202,1.1986965963190914
87076,Jabreilles Les Bordes,87370,87,46.022034058662754,1.5105084448933275
87077,Janailhac,87800,87,45.653988784720184,1.2374205370638736
87078,Javerdat,87520,87,45.959552471141706,0.966565673407731
87080,Jouac,87890,87,46.349581848090864,1.2592147424651925
87081,Jourgnac,87800,87,45.735534199376545,1.2186872892794915
87008,La Bazeuge,87210,87,46.25745060903316,1.0834610798080386
87037,La Chapelle Montbrandeix,87440,87,45.64090111354494,0.852337485130147
87051,La Croisille Sur Briance,87130,87,45.61962131743839,1.601103630983335
87052,La Croix Sur Gartempe,87210,87,46.15959047748875,1.0004135420201785
87070,La Geneytouse,87400,87,45.790937048376165,1.453125016174585
87079,La Jonchere St Maurice,87340,87,46.004219065637784,1.475779694133288
87096,La Meyze,87800,87,45.60948568908147,1.191754677645863
87120,La Porcherie,87380,87,45.57924532458178,1.5416412653910194
87127,La Roche L Abeille,87800,87,45.596685305329544,1.2557779470917325
87082,Ladignac Le Long,87500,87,45.58107276771272,1.115280570946636
87083,Lauriere,87370,87,46.07296393972473,1.4975807041570255
87084,Lavignac,87230,87,45.71839864636699,1.120730069094845
87023,Le Buis,87140,87,46.03485209963415,1.204978677172632
87031,Le Chalard,87500,87,45.55423694218979,1.1219014354885495
87042,Le Chatenet En Dognon,87400,87,45.905338167361506,1.502510083235197
87059,Le Dorat,87210,87,46.208943673883546,1.0720286435018247
87113,Le Palais Sur Vienne,87410,87,45.87033978099027,1.328803827985398
87205,Le Vigen,87110,87,45.743888499911215,1.271541978116157
87016,Les Billanges,87340,87,45.976133488219745,1.5341155199357028
87029,Les Cars,87230,87,45.674230345727956,1.0776049663869525
87074,Les Grands Chezeaux,87160,87,46.359679956969984,1.3854564813328674
87189,Les Salles Lavauguyon,87440,87,45.744627223129754,0.694365220966203
87085,Limoges,87000,87,45.856680339061306,1.226040986789526
87086,Linards,87130,87,45.702708274571314,1.5393745693387875
87087,Lussac Les Eglises,87360,87,46.34384039593442,1.1785557172661825
87088,Magnac Bourg,87380,87,45.598602685474326,1.4370788633398663
87089,Magnac Laval,87190,87,46.23810394875052,1.170222407861469
87090,Mailhac Sur Benaize,87160,87,46.31093953719223,1.316410362314198
87091,Maisonnais Sur Tardoire,87440,87,45.71391488978961,0.68362258608034
