city_code,city_name,postal_code,department_code,latitude,longitude
64001,Aast,64460,64,43.2922,-0.0829
55001,Abainville,55130,55,48.531,5.5236
59001,Abancourt,59268,59,50.2367,3.2087
60001,Abancourt,60220,60,49.6956,1.7702
54001,Abaucourt,54610,54,48.8903,6.2655
55002,Abaucourt Hautecourt,55400,55,49.1998,5.5469
25001,Abbans Dessous,25320,25,47.1345,5.871
25002,Abbans Dessus,25440,25,47.1267,5.8877
44001,Abbaretz,44170,44,47.5546,-1.4929
02001,Abbecourt,02300,02,49.5997,3.1824
60002,Abbecourt,60430,60,49.3597,2.1561
25003,Abbenans,25340,25,47.4957,6.4494
80001,Abbeville,80100,80,50.1101,1.8319
91001,Abbeville La Riviere,91150,91,48.3369,2.197
54002,Abbeville Les Conflans,54800,54,49.2005,5.8464
60003,Abbeville St Lucien,60480,60,49.5201,2.1669
25004,Abbevillers,25310,25,47.4263,6.9195
34001,Abeilhan,34290,34,43.46,3.3026
70001,Abelcourt,70300,70,47.7947,6.2789
64002,Abere,64160,64,43.3886,-0.174
39001,Abergement La Ronce,39500,39,47.0653,5.3778
39002,Abergement Le Grand,39600,39,46.9141,5.6785
39003,Abergement Le Petit,39800,39,46.9064,5.6973
39004,Abergement Les Thesy,39110,39,46.9109,5.9447
64003,Abidos,64150,64,43.3937,-0.6271
37001,Abilly,37160,37,46.939,0.7406
64004,Abitain,64390,64,43.4175,-0.9984
24001,Abjat Sur Bandiat,24300,24,45.5825,0.7655
62001,Ablain St Nazaire,62153,62,50.3989,2.6983
80002,Ablaincourt Pressoir,80320,80,49.8412,2.8266
62002,Ablainzevelle,62116,62,50.1532,2.7395
51001,Ablancourt,51240,51,48.8103,4.531
95002,Ableiges,95450,95,49.0873,1.973
78003,Ablis,78660,78,48.5292,1.8565
14001,Ablon,14600,14,49.4007,0.2806
94001,Ablon Sur Seine,94480,94,48.7236,2.4229
42001,Aboen,42380,42,45.4097,4.127
54003,Aboncourt,54115,54,48.3605,5.9875
57001,Aboncourt,57920,57,49.2543,6.3558
70002,Aboncourt Gesincourt,70500,70,47.7677,5.9743
57002,Aboncourt Sur Seille,57590,57,48.8186,6.3576
74001,Abondance,74360,74,46.2526,6.7334
28001,Abondant,28410,28,48.7983,1.4236
64005,Abos,64360,64,43.3548,-0.5493
57003,Abreschviller,57560,57,48.6032,7.1451
03001,Abrest,03200,03,46.0962,3.4514
05001,Abries Ristolas,05460,05,44.7717,6.9717
59002,Abscon,59215,59,50.3293,3.2993
16001,Abzac,16500,16,46.0999,0.7174
33001,Abzac,33230,33,45.0123,-0.1281
25005,Accolans,25250,25,47.4908,6.5353
07001,Accons,07160,07,44.8916,4.3944
64006,Accous,64490,64,42.9216,-0.5993
57004,Achain,57340,57,48.9171,6.5894
57006,Achen,57412,57,49.0483,7.1833
67001,Achenheim,67204,67,48.5818,7.6291
18001,Acheres,18250,18,47.2828,2.4601
78005,Acheres,78260,78,48.9817,2.1095
77001,Acheres La Foret,77760,77,48.3476,2.5653
02002,Achery,02800,02,49.6935,3.3974
80003,Acheux En Amienois,80560,80,50.0716,2.5319
80004,Acheux En Vimeu,80210,80,50.0668,1.6688
62003,Acheville,62320,62,50.3847,2.8815
70003,Achey,70180,70,47.574,5.6075
62004,Achicourt,62217,62,50.2723,2.7572
62005,Achiet Le Grand,62121,62,50.1306,2.7785
62006,Achiet Le Petit,62121,62,50.1285,2.7568
58001,Achun,58110,58,47.1317,3.6605
60004,Achy,60690,60,49.5624,1.9701
35001,Acigne,35690,35,48.1461,-1.5189
27001,Aclou,27800,27,49.1675,0.6939
27002,Acon,27570,27,48.7681,1.105
97601,Acoua,97630,976,-12.7249,45.0678
62007,Acq,62144,62,50.3502,2.654
27003,Acquigny,27400,27,49.1616,1.1745
62008,Acquin Westbecourt,62380,62,50.7333,2.0763
02003,Acy,02200,02,49.3476,3.4188
60005,Acy En Multien,60620,60,49.1101,2.9537
08001,Acy Romance,08300,08,49.4915,4.3269
57007,Adaincourt,57580,57,49.0064,6.4445
78006,Adainville,78113,78,48.7206,1.6629
25006,Adam Les Passavant,25360,25,47.3049,6.3692
25007,Adam Les Vercel,25530,25,47.1646,6.3904
67002,Adamswiller,67320,67,48.9068,7.2017
65001,Adast,65260,65,42.9762,-0.0769
65002,Ade,65100,65,43.1443,-0.0275
57008,Adelange,57380,57,49.0077,6.6077
70004,Adelans Et Le Val De Bithaine,70200,70,47.7077,6.3992
65003,Adervielle Pouchergues,65240,65,42.7973,0.3894
79002,Adilly,79200,79,46.7011,-0.3188
62009,Adinfer,62116,62,50.1913,2.7073
34002,Adissan,34230,34,43.5358,3.4254
45001,Adon,45230,45,47.7587,2.7925
86001,Adriers,86430,86,46.2621,0.7884
2A001,Afa,20167,2A,41.981,8.7975
19001,Affieux,19260,19,45.5111,1.7619
54004,Affleville,54800,54,49.2627,5.7579
69001,Affoux,69170,69,45.8448,4.4116
54005,Affracourt,54740,54,48.4602,6.1655
62010,Affringues,62380,62,50.6901,2.0692
31001,Agassac,31230,31,43.374,0.8866
34003,Agde,34300,34,43.3084,3.4838
34004,Agel,34210,34,43.3498,2.8544
47001,Agen,47000,47,44.201,0.6302
12001,Agen D Aveyron,12630,12,44.3509,2.6915
21001,Agencourt,21700,21,47.1256,4.9883
80005,Agenville,80370,80,50.1714,2.1078
80006,Agenvillers,80150,80,50.1792,1.921
52001,Ageville,52340,52,48.1102,5.3376
21002,Agey,21410,21,47.2884,4.7606
2B002,Aghione,20270,2B,42.0934,9.4064
54006,Agincourt,54770,54,48.7294,6.2351
47002,Agme,47350,47,44.4894,0.3411
47003,Agnac,47800,47,44.6406,0.3788
43001,Agnat,43100,43,45.3435,3.4542
50002,Agneaux,50180,50,49.1153,-1.1272
60007,Agnetz,60600,60,49.3944,2.3784
62011,Agnez Les Duisans,62161,62,50.307,2.6461
02004,Agnicourt Et Sechelles,02340,02,49.7172,3.9637
62012,Agnieres,62690,62,50.3507,2.6098
38003,Agnin,38150,38,45.3347,4.8598
64007,Agnos,64400,64,43.1556,-0.6359
62013,Agny,62217,62,50.2519,2.76
50003,Agon Coutainville,50230,50,49.0298,-1.5807
24002,Agonac,24460,24,45.2785,0.7415
34005,Agones,34190,34,43.899,3.7241
03002,Agonges,03210,03,46.6238,3.149
65004,Agos Vidalos,65400,65,43.0383,-0.0732
16003,Agris,16110,16,45.7753,0.3305
17002,Agudelle,17500,17,45.3836,-0.4694
12002,Aguessac,12520,12,44.1584,3.0669
02005,Aguilcourt,02190,02,49.3953,3.9663
81001,Aguts,81470,81,43.5333,1.9271
14003,Agy,14400,14,49.2372,-0.7793
64008,Ahaxe Alciette Bascassan,64220,64,43.141,-1.1571
64009,Ahetze,64210,64,43.4058,-1.5658
88002,Aheville,88500,88,48.2836,6.2007
53001,Ahuille,53940,53,48.0221,-0.8803
23001,Ahun,23150,23,46.0917,2.024
21003,Ahuy,21121,21,47.3696,5.0179
59003,Aibes,59149,59,50.2328,4.0915
25008,Aibre,25750,25,47.5532,6.6995
64010,Aicirits Camou Suhast,64120,64,43.3546,-1.0141
79003,Aiffres,79230,79,46.2831,-0.4147
30001,Aigaliers,30700,30,44.0703,4.3092
08003,Aiglemont,08090,08,49.7909,4.7677
39006,Aiglepierre,39110,39,46.955,5.8096
27004,Aigleville,27120,27,49.0053,1.424
04001,Aiglun,04510,04,44.0632,6.1413
06001,Aiglun,06910,06,43.8552,6.9348
32001,Aignan,32290,32,43.699,0.091
21004,Aignay Le Duc,21510,21,47.6736,4.7482
